"Title","Last update","Geolocation","Main location","Action area","twitter account","website","Post date"
"Univrses","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://univrses.com/","2018-02-05"
"Imagimob","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://imagimob.com/","2018-02-05"
"Watty","2018-02-05","POINT (18.0685808 59.3293235)","","Analytics, AI/Machine learning","","https://watty.io/","2018-02-05"
"SoftRobot","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.softrobot.se/","2018-02-05"
"Optisort","2018-02-05","POINT (11.97456 57.70887)","","Analytics, AI/Machine learning","","http://www.refind.se/","2018-02-05"
"Unibap","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://unibap.com/","2018-02-05"
"Behoover","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.behoover.com/","2018-02-05"
"Furhat Robotics","2018-02-05","POINT (18.0685808 59.3293235)","","Analytics, AI/Machine learning","","http://www.furhatrobotics.com/","2018-02-05"
"Strossle","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://strossle.com/","2018-02-05"
"Aifloo","2018-02-05","POINT (18.0685808 59.3293235)","","Analytics, AI/Machine learning","","http://www.aifloo.com/","2018-02-05"
"Zensed","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.zensed.com/","2018-02-05"
"Starcounter","2018-02-05","POINT (18.0685808 59.3293235)","","Analytics, AI/Machine learning","","https://starcounter.com/","2018-02-05"
"Weld","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://www.weld.io/","2018-02-05"
"Galvangai","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.gavagai.se/","2018-02-05"
"Demiurge Technologies","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.demiurge.technology/","2018-02-05"
"Nnaisence","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","https://nnaisense.com/","2018-02-05"
"Vividly","2018-12-23","POINT (4.469936 50.503887)","","Analytics, AI/Machine learning","","http://www.vividlyapp.com/","2018-02-05"
"Grydl Analytics","2018-02-05","POINT (6.1431577 46.2043907)","","Analytics, AI/Machine learning","","http://www.grydl.com/","2018-02-05"
"Illuminoo","2018-02-05","POINT (6.1431577 46.2043907)","","Analytics, AI/Machine learning","","https://illuminoo.com/","2018-02-05"
"MarketMixer","2018-02-05","POINT (6.6322734 46.5196535)","","Analytics, AI/Machine learning","","https://www.marketmixer.net/en/","2018-02-05"
